Financial Year,Room Type,Town,Latitude,Longitude,Remaining Lease,Distance From Nearest Hawker,Distance From Nearest Park,Distance To Nearest Mall,Distance To Nereast School,Hawker,School,Shopping Mall,Max Selling Price,Min Selling Price,Average Selling Price
1/1/2013,4,Woodlands,1.436875128,103.7864999,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,369000,276000,322500
1/1/2013,4,Woodlands,1.436066981,103.7879451,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,369000,276000,322500
1/1/2014,1,Woodlands,1.436875128,103.7864999,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,131000,72000,101500
1/1/2014,1,Woodlands,1.436066981,103.7879451,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,131000,72000,101500
1/1/2014,2,Woodlands,1.436875128,103.7864999,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,197000,144000,170500
1/1/2014,2,Woodlands,1.436066981,103.7879451,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,197000,144000,170500
1/1/2014,3,Woodlands,1.436875128,103.7864999,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,312000,229000,270500
1/1/2014,3,Woodlands,1.436066981,103.7879451,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,312000,229000,270500
1/1/2014,4,Woodlands,1.436875128,103.7864999,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,396000,308000,352000
1/1/2014,4,Woodlands,1.436066981,103.7879451,92,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,396000,308000,352000
1/1/2017,1,Woodlands,1.436875128,103.7864999,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,129000,71000,100000
1/1/2017,1,Woodlands,1.436066981,103.7879451,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,129000,71000,100000
1/1/2017,2,Woodlands,1.436875128,103.7864999,95,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,189000,140000,164500
